Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22074335,This Book is Gay,Juno Dawson,"Dawson, Juno",James Dawson,"=""1471403955""","=""9781471403958""",4,3.91,Hot Key Books,Paperback,271,2014,2014,2019/03/30,2019/03/30,,,read,,,,1,,,0,,,,,
42595641,"Wytches, Volume 1",Scott Snyder,"Snyder, Scott",,"=""""","=""9781632154910""",5,3.82,Image Comics,Paperback,144,2015,2014,2019/03/27,2019/03/27,,,read,,,,1,,,0,,,,,
310613,Breakfast of Champions,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0440131480""","=""9780440131489""",5,4.07,Dell,Mass Market Paperback,295,1991,1973,2019/03/14,2019/03/14,,,read,,,,1,,,0,,,,,
71058,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Katherine Woods,"=""0152465030""","=""9780152465032""",5,4.30,"Harcourt, Brace & World, Inc.",Hardcover,93,1943,1943,,2018/12/04,favorites,favorites (#7),read,,,,1,,,0,,,,,
1930326,Something Wicked This Way Comes,Ray Bradbury,"Bradbury, Ray",,"=""0575083069""","=""9780575083066""",4,3.94,Gollancz,Paperback,263,2008,1962,2015/09/01,2016/10/22,,,read,,,,2,,,0,,,,,
38812871,Infidel,Pornsak Pichetshote,"Pichetshote, Pornsak","Aaron Campbell, José Villarrubia, Jeff Powell","=""1534308369""","=""9781534308367""",4,3.89,Image Comics,Paperback,168,2018,2018,2019/03/25,2019/03/25,,,read,,,,1,,,0,,,,,
29632242,Tomie,Junji Ito,"Ito, Junji",Naomi Kokubo,"=""1421590565""","=""9781421590561""",4,4.13,VIZ Media,Hardcover,752,2016,2016,2019/03/24,2019/03/24,,,read,,,,1,,,0,,,,,
35271190,I'll Be Gone in the Dark,Michelle McNamara,"McNamara, Michelle","Gillian Flynn, Patton Oswalt, Paul Haynes, Billy Jensen","=""""","=""""",4,4.15,Harper,Hardcover,328,2018,2018,2019/03/20,2019/03/17,,,read,,,,1,,,0,,,,,
40630116,Rick and Morty vs. Dungeons & Dragons,Patrick Rothfuss,"Rothfuss, Patrick","Jim Zub, Troy Little","=""1684054168""","=""9781684054169""",4,4.18,IDW Publishing,Hardcover,96,2019,2019,2019/03/13,2019/03/13,,,read,,,,1,,,0,,,,,
13378649,Shakespeare (Beginner's Guides),Ros King,"King, Ros",,"=""""","=""""",2,3.47,,Kindle Edition,220,,2011,2015/01/01,2017/01/19,,,read,,,,1,,,0,,,,,
9608,Cat's Cradle,Kurt Vonnegut,"Vonnegut, Kurt",,"=""""","=""9784001149128""",4,4.16,Dell,Mass Market Paperback,191,1973,1963,2019/03/01,2019/03/01,,,read,,,,1,,,0,,,,,
2495567,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404746""","=""9780756404741""",5,4.54,DAW,Mass Market Paperback,722,2008,2007,2019/02/28,2019/02/28,,,read,,,,1,,,0,,,,,
25790958,A Little Lumpen Novelita,Roberto Bolaño,"Bolaño, Roberto",Natasha Wimmer,"=""0811225151""","=""9780811225151""",4,3.62,New Directions,Paperback,128,2016,2002,2017/08/04,2017/08/05,,,read,,,,1,,,0,,,,,
43272599,"Unfuck Your Intimacy: Using Science for Better Relationships, Sex, and Dating",Faith G. Harper,"Harper, Faith G.",,"=""1621067629""","=""9781621067627""",4,3.52,Microcosm Publishing,Paperback,192,2019,2019,2019/02/14,2019/02/14,,,read,,,,1,,,0,,,,,
941673,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0345292340""","=""9780345292346""",5,3.98,Del Rey,Mass Market Paperback,184,1987,1953,2019/02/03,2019/02/03,,,read,,,,1,,,0,,,,,
40819220,The Spirit of Science Fiction,Roberto Bolaño,"Bolaño, Roberto",,"=""0735233535""","=""9780735233539""",3,3.39,Hamish Hamilton,Hardcover,208,2019,2016,2019/02/06,2019/02/06,,,read,,,,1,,,0,,,,,
12560626,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",5,3.98,Ballantine Books ,Mass Market Paperback,147,1953,1953,2015/06/01,2016/10/22,to-re-read,to-re-read (#2),read,,,,1,,,0,,,,,
13544424,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""1442459913""","=""9781442459915""",4,4.09,Atheneum Books for Young Readers,Paperback,212,2012,1970,2019/02/02,2019/02/02,,,read,,,,1,,,0,,,,,
9508282,Slaughterhouse-Five,Kurt Vonnegut,"Vonnegut, Kurt",,"=""""","=""""",5,4.07,Dell,Mass Market Paperback,215,1985,1969,2019/01/31,2019/01/15,,,read,,,,1,,,0,,,,,
40163362,We Cast a Shadow,Maurice Carlos Ruffin,"Ruffin, Maurice Carlos",,"=""0525509062""","=""9780525509066""",0,3.69,One World,Hardcover,336,2019,2019,,2019/01/27,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
13356686,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0547773749""","=""9780547773742""",4,4.00,HMH Books for Young Readers,Mass Market Paperback,299,2012,1968,2019/01/27,2019/01/27,,,read,,,,1,,,0,,,,,
29102955,The Secret History of Twin Peaks,Mark Frost,"Frost, Mark",,"=""1250075580""","=""9781250075581""",5,3.94,Flatiron Books,Hardcover,362,2016,2016,2019/01/23,2016/10/23,,,read,,,,1,,,0,,,,,
39599913,Golden State,Ben H. Winters,"Winters, Ben H.",,"=""0316505412""","=""9780316505413""",4,3.51,Mulholland Books,Hardcover,319,2019,2019,2019/01/22,2019/01/22,,,read,,,,1,,,0,,,,,
39872813,Mouthful of Birds,Samanta Schweblin,"Schweblin, Samanta","Megan McDowell, Ben Newman","=""0399184627""","=""9780399184628""",5,3.79,Riverhead Books,Hardcover,240,2019,2008,2019/01/18,2019/01/18,,,read,,,,1,,,0,,,,,
35410511,Baby Teeth,Zoje Stage,"Stage, Zoje",,"=""1250170753""","=""9781250170750""",3,3.63,St Martin's Press,Hardcover,304,2018,2018,2018/08/24,2018/08/16,,,read,,,,1,,,0,,,,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,4.25,St. Martin's Press,Paperback,264,2004,1939,,2019/01/15,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
865,The Alchemist,Paulo Coelho,"Coelho, Paulo","Alan R. Clarke, Özdemir İnce","=""0061122416""","=""9780061122415""",0,3.86,HarperCollins,Paperback,197,1993,1988,,2019/01/15,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
839103,The Bell Jar,Sylvia Plath,"Plath, Sylvia",Lois Ames,"=""0553278355""","=""9780553278354""",4,4.00,Bantam,Mass Market Paperback,216,1978,1963,2019/01/15,2019/01/14,,,read,,,,1,,,0,,,,,
19336255,Bolaño: A Biography in Conversations,Mónica Maristain,"Maristain, Mónica",Kit Maude,"=""1612193471""","=""9781612193472""",4,3.69,Melville House,Hardcover,288,2014,2014,2019/01/13,2019/01/13,,,read,,,,1,,,0,,,,,
39810297,Frankenstein,Junji Ito,"Ito, Junji",,"=""1974703762""","=""9781974703760""",4,3.95,VIZ Media LLC,Hardcover,400,2018,1999,2019/01/09,2019/01/09,,,read,,,,1,,,0,,,,,
36421253,Alice Isn't Dead,Joseph Fink,"Fink, Joseph",,"=""""","=""9780062890139""",2,3.67,Harper Perennial,Hardcover,321,2018,2018,2019/01/09,2019/01/09,,,read,,,,1,,,0,,,,,
38709,"Holes (Holes, #1)",Louis Sachar,"Sachar, Louis",,"=""0439244196""","=""9780439244190""",0,3.95,Scholastic,Paperback,233,2000,1998,,2019/01/09,,,read,,,,1,,,0,,,,,
36692478,There There,Tommy Orange,"Orange, Tommy",,"=""0525520376""","=""9780525520375""",5,3.98,Knopf,Hardcover,294,2018,2018,2019/01/06,2019/01/06,,,read,,,,1,,,0,,,,,
71135,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Charles Scribner III,"=""""","=""""",3,3.91,Collier Books,Mass Market Paperback,182,1986,1925,2019/01/04,2019/01/04,,,read,,,,1,,,0,,,,,
35711,A General Theory of Love,Thomas Lewis,"Lewis, Thomas","Fari Amini, Richard Lannon","=""0375709223""","=""9780375709227""",4,4.11,Vintage,Paperback,288,2001,2000,2016/09/01,2016/10/22,,,read,,,,1,,,0,,,,,
14574841,The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis",,"=""1908533161""","=""9781908533166""",4,3.81,"Atlantic Publishing, Croxley Green",Paperback,90,2012,1886,2017/12/31,2017/12/31,,,read,,,,1,,,0,,,,,
36222363,The Power,Naomi Alderman,"Alderman, Naomi",,"=""0316547603""","=""9780316547604""",0,3.84,Back Bay Books,Paperback,400,2019,2016,,2018/12/23,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
32509990,George,Alex Gino,"Gino, Alex",,"=""8501077674""","=""9788501077677""",4,4.05,Galera Junior,Paperback,144,2016,2015,2018/12/23,2018/11/22,,,read,,,,1,,,0,,,,,
564758,Lost at Sea,Bryan Lee O'Malley,"O'Malley, Bryan Lee",,"=""1932664165""","=""9781932664164""",3,3.73,Oni Press,Paperback,160,2012,2003,2018/12/22,2018/12/22,,,read,,,,1,,,0,,,,,
13699726,1Q84,Haruki Murakami,"Murakami, Haruki",,"=""0345802934""","=""9780345802934""",3,3.92,Vintage,Paperback,1157,2012,2009,2018/12/22,2018/12/22,,,read,,,,1,,,0,,,,,
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0679735771""","=""9780679735779""",0,3.82,Vintage Contemporaries / Random House,Paperback,399,1991,1991,,2018/12/10,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",0,4.24,Penguin Classics,Paperback,1276,2003,1844,,2018/12/10,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
38902427,"I Might Regret This: Essays, Drawings, Vulnerabilities, and Other Stuff",Abbi Jacobson,"Jacobson, Abbi",,"=""1538713292""","=""9781538713297""",4,3.78,Grand Central Publishing,Hardcover,320,2018,2018,,2018/12/09,,,read,,,,1,,,0,,,,,
18770398,Night Film,Marisha Pessl,"Pessl, Marisha",,"=""0812979788""","=""9780812979787""",2,3.78,Random House Trade Paperbacks,Paperback,640,2014,2013,2018/12/09,2018/08/22,,,read,,,,1,,,0,,,,,
39089024,Why Women Have Better Sex Under Socialism: And Other Arguments for Economic Independence,Kristen R. Ghodsee,"Ghodsee, Kristen R.",,"=""1568588909""","=""9781568588902""",4,3.97,Bold Type Books,Hardcover,240,2018,2018,2018/12/08,2018/12/08,,,read,,,,1,,,0,,,,,
23128304,The Strange Library,Haruki Murakami,"Murakami, Haruki","Ted Goossen, Chip Kidd","=""0385354304""","=""9780385354301""",4,3.56,Knopf,Paperback,96,2014,2001,2018/12/04,2018/12/04,,,read,,,,1,,,0,,,,,
34530151,The Hate U Give,Angie Thomas,"Thomas, Angie",,"=""1406377287""","=""9781406377286""",5,4.52,Walker Books,Paperback,438,2017,2017,2018/12/03,2018/12/03,,,read,,,,1,,,0,,,,,
5470,1984,George Orwell,"Orwell, George",Erich Fromm,"=""""","=""""",5,4.18,New American Library,Mass Market Paperback,328,1950,1949,2017/02/01,2017/01/27,,,read,,,,1,,,0,,,,,
9549746,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307477479""","=""9780307477477""",5,3.66,Anchor Books,Paperback,341,2011,2010,2018/11/29,2018/11/29,,,read,,,,1,,,0,,,,,
18406685,Moby-Dick,Herman Melville,"Melville, Herman",,"=""1626860572""","=""9781626860575""",0,3.49,Canterbury Classics,Flexibound,561,2014,1851,,2018/11/23,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
36341204,What If It's Us,Becky Albertalli,"Albertalli, Becky",Adam Silvera,"=""0062795252""","=""9780062795250""",0,3.96,HarperTeen,Hardcover,437,2018,2018,,2018/11/22,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
17899948,Rebecca,Daphne du Maurier,"Maurier, Daphne du",,"=""0316323705""","=""9780316323703""",0,4.22,"Little, Brown and Company",ebook,449,2013,1938,,2018/11/22,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
30375706,Things We Lost in the Fire,Mariana Enríquez,"Enríquez, Mariana",Megan McDowell,"=""045149511X""","=""9780451495112""",5,4.02,Hogarth Press,Hardcover,208,2017,2016,2018/11/21,2018/11/21,,,read,,,,1,,,0,,,,,
26025580,The Grownup,Gillian Flynn,"Flynn, Gillian",,"=""0804188971""","=""9780804188975""",3,3.55,Crown,Hardcover,64,2015,2014,2018/11/13,2018/11/13,,,read,,,,1,,,0,,,,,
38458433,The Hole,José Revueltas,"Revueltas, José","Amanda Hopkinson, Sophie Hughes, Álvaro Enrigue","=""0811227782""","=""9780811227780""",3,3.87,New Directions,Paperback,80,2018,1969,2018/11/12,2018/11/12,,,read,,,,1,,,0,,,,,
